"","ClubSize","importer","xBeta","x2Beta","df","r2","SlopeAtTen","PessShock","WelfareStar","Welfare5pct"
"31",2,"EU",-0.0340930970668806,0.0266694952265874,1183,0.734908734507313,-0.0287591980215631,0.63917777178048,0.989104225091848,0.998362018884722
"32",2,"India",-0.0330031529878696,0.0282399431755923,1183,0.734908734507313,-0.0273551643527512,0.584334621048285,0.990357557552717,0.998420442208546
"33",2,"Japan",-0.0370220700104193,0.0314226639461892,1183,0.734908734507313,-0.0307375372211815,0.589098207488376,0.989095182459676,0.998227453159344
"34",2,"ROW",-0.0622120453692418,0.05014461722411,1183,0.734908734507313,-0.0521831219244198,0.620326256467362,0.98070411739446,0.997014759274598
"35",2,"US",-0.0368670896182083,0.0284417410198037,1183,0.734908734507313,-0.0311787414142475,0.648115908103834,0.988052926366475,0.998227749871639
"36",6,"Brazil",-0.100470911918878,0.0907051805857808,115,0.94388273506763,-0.0823298758017215,0.553832268840815,0.972177983449731,0.995203217355521
"37",6,"China",-0.121973372972405,0.105395518702819,115,0.94388273506763,-0.100894269231841,0.578645916228802,0.964710302920433,0.994164820148137
"38",6,"EU",-0.121892370173249,0.106724697047484,115,0.94388273506763,-0.100547430763753,0.571059808766742,0.96519608319937,0.994172193233956
"39",6,"India",-0.0618879656576909,0.0606757999404349,115,0.94388273506763,-0.049752805669604,0.50998887298104,0.984218913071572,0.997057291216967
"40",6,"Japan",-0.139574435706591,0.132613795353581,115,0.94388273506763,-0.113051676635875,0.526244028136181,0.963274893364465,0.993352812703054
"41",6,"ROW",-0.203196539244325,0.178256555913917,115,0.94388273506763,-0.167545228061541,0.569955304596066,0.942093527291067,0.990285814427569
"42",6,"US",-0.135364333378895,0.119377438501093,115,0.94388273506763,-0.111488845678676,0.566959448445759,0.961626956104137,0.993530226927308
